COD,CIUDAD,AEROPUERTO,PROVINCIA
AEP,Ciudad de Buenos Aires,Jorge Newbery,Buenos Aires
EZE,Ezeiza,Ministro Pistarini,Buenos Aires
JNI,Junín,Junín,Buenos Aires
LPG,La Plata,La Plata,Buenos Aires
MDQ,Mar del Plata,Astor Piazzolla,Buenos Aires
NEC,Necochea,Necochea,Buenos Aires
FDO,San Fernando,San Fernando,Buenos Aires
STT,Santa Teresita,Santa Teresita,Buenos Aires
TDL,Tandil,Tandil,Buenos Aires
VGL,Villa Gesell,Villa Gesell,Buenos Aires
CTC,Catamarca,Cnel. Felipe Varela,Catamarca
RES,Resistencia,Jose de San Martín,Chaco
CRD,Comodoro Rivadavia,Intern.Gral. E. Mosconi,Chubut
EQS,Esquel,Brig. Gral. Antonio Parodi,Chubut
PMY,Puerto Madryn,El Tehuelche,Chubut
REL,Trelew,Alte. Marcos A. Zar,Chubut
COR,Córdoba,A.Taravella/Pajas Blancas,Córdoba
RCU,Río Cuarto,Area Material Río Cuarto,Córdoba
CNQ,Corrientes,Dr. Piragine Niveyro,Corrientes
OYA,Goya,Diego N. Díaz Colodrero,Corrientes
AOL,Paso de los Libres,Paso de los Libres,Corrientes
COC,Concordia,Comodoro Pierrestegui,Entre Ríos
PRA,Paraná,Gral. Justo J.de Urquiza,Entre Ríos
FMA,Formosa,El Pucú,Formosa
JUJ,San Salvador de Jujuy,Gob. Horacio Guzmán,Jujuy
GPO,General Pico,General Pico,La Pampa
RSA,Santa Rosa,Santa Rosa,La Pampa
IRJ,La Rioja,Cap. Vicente A. Almonacid,La Rioja
LGS,Malargue,Cdro. Ricardo Salomon,Mendoza
MDZ,Mendoza,Gob. Gabrielli/El Plumerillo,Mendoza
AFA,San Rafael,Santiago Germano,Mendoza
PSS,Posadas,Lib. Gral. J. de San Martín,Misiones
IGR,Puerto Iguazú,My. Carlos E. Krause,Misiones
CUT,Cutral-Co,Cutral-Co,Neuquén
NQN,Neuquén,Presidente Perón,Neuquén
CPC,San Martín de los Andes,Aviador .Campos/Chapelco,Neuquén
BRC,Bariloche,Tte. Luis Candelaria,Río Negro
GNR,General Roca,Arturo Humberto Illia,Río Negro
VDM,Viedma,Gobernador Castello,Río Negro
SLA,Salta,Gral. Guemes,Salta
TTG,Tartagal,Gral. E. Mosconi,Salta
UAQ,San Juan,Domingo Faustino Sarmiento,San Juan
RLO,Merlo,Valle del Conlara,San Luis
LUQ,San Luis,Brig. May. Cesar Raúl Ojeda,San Luis
VME,Villa Reynolds,Villa Reynolds,San Luis
FTE,El Calafate,Comandante Armando Tola,Santa Cruz
RYO,El Turbio,El Turbio/28 de Noviembre,Santa Cruz
RGL,Río Gallegos,Pil. Civ. Norberto Fernández,Santa Cruz
RCQ,Reconquista,Daniel Jukic,Santa Fe
ROS,Rosario,Islas Malvinas,Santa Fe
SFN,Santa Fe,Sauce Viejo,Santa Fe
RHD,Río Hondo,Termas de Río Hondo,Santiago del Estero
SDE,Santiago del Estero,Com. De La Paz Aragonés,Santiago del Estero
RGA,Río Grande,Gob. Ramón Trejo Noel,Tierra del Fuego
USH,Ushuaia,Malvinas Argentinas,Tierra del Fuego
TUC,S. Miguel de Tucumán,Tte. Benjamín Matienzo,Tucumán
